Group,Category,Menu Item,Gross,Void Qty,Void Amt,Refund Qty,Refund Amt,Option Amt,Discount,PriceLevelAdj,Approx. Tax,Net Qty,Net Sales
,,Pop-Tarts Smores 2Pk,14.85,0,0,0,0,0,0,0,0,9,14.85
,,Pop-Tarts Smores Box,76.33,0,0,0,0,0,0,0,0,17,76.33
,,Pop-Tarts Strawberry 2Pk,19.8,0,0,0,0,0,0,0,0,12,19.8
,,Pop-Tarts Strawberry Box,58.37,0,0,0,0,0,0,0,0,13,58.37
,Breakfast Bars,---,684.4,0,0,0,0,0,-0.5,0,---,312,683.9
,Cereal,Cap N Crunch Berries Cereal Cup,32.06,0,0,0,0,0,0,0,0,14,32.06
,,Cap N Crunch Cereal Cup,9.95,0,0,0,0,0,0,0,0,5,9.95
,,Cheerios Cup,29.85,0,0,0,0,0,0,0,0,15,29.85
,,Cheerios Honey Nut Box,113.81,0,0,0,0,0,-0.25,0,0,19,113.56
,,Cheerios Honey Nut Cup,63.68,0,0,0,0,0,0,0,0,32,63.68
,,Cheerios Low Cholesterol Box,101.83,0,0,0,0,0,-0.5,0,0,17,101.33
,,Cheerios Multi Grain Box,59.9,0,0,0,0,0,0,0,0,10,59.9
,,Cinnamon Toast Crunch Box,203.66,0,0,0,0,0,0,0,0,34,203.66
,,Cinnamon Toast Crunch Cup,33.83,0,0,0,0,0,0,0,0,17,33.83
,,Cocoa Krispies Cup,59.54,0,0,0,0,0,0,0,0,26,59.54
,,Cocoa Puffs Box,40.72,0,0,0,0,0,-0.25,0,0,8,40.47
,,Corn Flakes Box,69.93,0,0,0,0,0,0,0,0,7,69.93
,,Field Day Organic Whole Grain Wheat Squares Cereal,28.02,0,0,0,0,0,0,0,0,3,28.02
,,Froot Loops Cup,32.06,0,0,0,0,0,0,0,0,14,32.06
,,Frosted Mini Wheats Cup,6.87,0,0,0,0,0,0,0,0,3,6.87
,,Frosties Cup,61.83,0,0,0,0,0,0,0,0,27,61.83
,,Fruity Pebbles Box 11z,35.45,0,0,0,0,0,0,0,0,5,35.45
,,GM Golden Grahams Box,20.36,0,0,0,0,0,0,0,0,4,20.36
,,Honey Bunches of Oats Almond,92.17,0,0,0,0,0,0,0,0,13,92.17
,,Honey Bunches of Oats Almond Cup,10.45,0,0,0,0,0,0,0,0,5,10.45
,,Honey Bunches of Oats Honey Cup,11.56,0,0,0,0,0,0,0,0,4,11.56
,,Honey Bunches of Oats Honey Roasted ,106.35,0,0,0,0,0,-0.25,0,0,15,106.1
,,Kellog Special K Berries Box,156.17,0,0,0,0,0,-1.36,0,0,23,154.81
,,Kellogg Apple Jacks Box,44.95,0,0,0,0,0,0,0,0,5,44.95
,,Kellogg Apple Jacks Cup,6.87,0,0,0,0,0,0,0,0,3,6.87
,,Kellogg Corn Pops Box,26.97,0,0,0,0,0,0,0,0,3,26.97
,,Kellogg Corn Pops Cup,9.16,0,0,0,0,0,0,0,0,4,9.16
,,Kellogg Froot Loops Box,62.93,0,0,0,0,0,-0.9,0,0,7,62.03
,,Kellogg Frosted Mini Wheats Box,63.81,0,0,0,0,0,-0.25,0,0,9,63.56
,,Kellogg Raisin Bran Box,49.63,0,0,0,0,0,-0.71,0,0,7,48.92
,,Kellogg Rice Krispies Box,79.92,0,0,0,0,0,0,0,0,8,79.92
,,Kix Box,47.92,0,0,0,0,0,0,0,0,8,47.92
,,Lucky Charms Box,80.5,0,0,0,0,0,0,0,0,14,80.5
,,Lucky Charms Cup,21.89,0,0,0,0,0,0,0,0,11,21.89
,,Post Cocoa Pebbles,56.72,0,0,0,0,0,0,0,0,8,56.72
,,Raisin Bran Crunch Cup,11.45,0,0,0,0,0,0,0,0,5,11.45
,,Reeses Puff Cereal Cup,8.36,0,0,0,0,0,0,0,0,4,8.36
,,Reeses Puffs Cereal Box,63.25,0,0,0,0,0,-0.25,0,0,11,63
,Cereal,---,2014.38,0,0,0,0,0,-4.72,0,---,427,2009.66
,Oatmeal and Granola,Erin Baker Granola Double Chocolate,152.83,0,0,0,0,0,0,0,0,17,152.83
,,Erin Baker Granola Fruit N Nut,125.86,0,0,0,0,0,0,0,0,14,125.86
,,Erin Baker Granola Peanut Butter,170.81,0,0,0,0,0,-0.25,0,0,19,170.56
,,Mylk Labs Oatmeal Cultivate Blueberry & Vermont Maple Cup   ,48.86,0,0,0,0,0,0,0,0,14,48.86
,,Mylk Labs Oatmeal Roasted Almd Himly Pink Salt Cup ,10.47,0,0,0,0,0,0,0,0,3,10.47
,,Mylk Labs Oatmeal Sun Ripe Straw & Madagascar Vanilla Cup,69.8,0,0,0,0,0,0,0,0,20,69.8
,,Quaker Oatmeal Express Apple Cinn Cup,46.24,0,0,0,0,0,0,0,0,16,46.24
,,Quaker Oatmeal Express Brown Sugar Cup,86.49,0,0,0,0,0,0,0,0,31,86.49
